date,1. open,2. high,3. low,4. close,5. volume
2017-10-06,67.49,68.08,67.32,67.85,1939061.0
2017-10-09,67.85,69.06,67.75,68.74,2763916.0
2017-10-10,68.51,69.51,68.51,68.93,5689191.0
2017-10-11,68.75,69.38,68.71,69.22,4251750.0
2017-10-12,69.0,69.23,67.8,67.91,4110988.0
2017-10-13,68.17,68.18,67.38,67.52,3380943.0
2017-10-16,67.91,68.13,67.36,68.04,4523200.0
2017-10-17,68.0,68.1,66.63,66.78,4264365.0
2017-10-18,67.2,68.04,66.98,67.79,5361842.0
2017-10-19,66.97,67.54,66.65,67.45,4271282.0
2017-10-20,67.65,68.36,67.45,67.51,7149442.0
2017-10-23,67.63,68.0,66.4,66.51,3959123.0
2017-10-24,66.69,67.2,66.4,66.61,3667001.0
2017-10-25,66.66,67.04,65.19,65.4,4550598.0
2017-10-26,65.5,66.01,65.07,65.57,4967301.0
2017-10-27,66.6,67.73,65.87,67.52,7607822.0
2017-10-30,68.04,68.96,67.94,68.86,7764554.0
2017-10-31,69.5,70.27,68.96,70.12,10680460.0
2017-11-01,70.85,71.39,69.84,70.59,9883635.0
2017-11-02,72.06,72.47,69.84,70.51,10054593.0
2017-11-03,71.01,71.4,69.84,70.23,6321515.0
2017-11-06,70.27,71.96,70.27,71.71,7130108.0
2017-11-07,72.2,72.47,71.62,72.22,9164838.0
2017-11-08,72.0,72.2,71.09,71.16,7363665.0
2017-11-09,70.46,70.68,68.77,70.19,10054663.0
2017-11-10,70.6,70.75,69.94,70.55,4439901.0
2017-11-13,70.66,71.39,70.01,70.27,5256892.0
2017-11-14,70.0,70.15,69.1,69.52,5194145.0
2017-11-15,68.23,69.55,68.05,69.43,9144226.0
2017-11-16,69.8,71.22,69.8,70.75,7510504.0
2017-11-17,70.81,71.37,70.74,71.02,14298554.0
2017-11-20,71.6,72.53,71.43,71.95,14666339.0
2017-11-21,72.66,73.14,72.31,72.85,9514310.0
2017-11-22,73.02,73.25,72.46,72.6,6721660.0
2017-11-24,72.47,73.18,72.31,72.93,3356343.0
2017-11-27,72.82,73.12,71.92,72.07,7630057.0
2017-11-28,72.25,72.48,71.49,71.98,11936706.0
2017-11-29,71.61,71.7,68.51,70.36,15976095.0
2017-11-30,70.31,70.84,69.37,70.06,19208185.0
2017-12-01,69.8,71.25,69.47,70.1,19712943.0
2017-12-04,71.06,71.34,68.16,68.31,15533597.0
2017-12-05,67.1,69.38,66.62,68.13,11963099.0
2017-12-06,67.46,69.62,67.36,69.41,11646582.0
2017-12-07,69.75,70.64,69.48,70.22,7084564.0
2017-12-08,71.0,71.63,70.82,71.25,7021125.0
2017-12-11,71.7,72.089,71.15,71.53,7359312.0
2017-12-12,71.07,71.15,69.55,69.77,11296188.0
2017-12-13,69.8,71.76,69.69,71.24,17321301.0
2017-12-14,70.6,70.62,68.84,69.23,17077065.0
2017-12-15,69.35,70.54,68.66,70.29,19517623.0
2017-12-18,70.54,70.74,69.95,70.14,6776982.0
2017-12-19,69.7,70.3626,69.38,70.21,14654994.0
2017-12-20,70.6,71.05,70.17,70.9,12888149.0
2017-12-21,71.0,72.17,70.88,71.59,9682733.0
2017-12-22,71.42,71.87,71.22,71.58,10979165.0
2017-12-26,70.94,71.39,69.63,69.86,8542802.0
2017-12-27,69.77,70.49,69.69,70.06,6345124.0
2017-12-28,70.12,70.32,69.51,69.82,7556877.0
2017-12-29,69.79,70.13,69.43,69.85,6613070.0
2018-01-02,70.77,73.35,70.55,73.13,11437264.0
2018-01-03,73.5,73.86,72.77,73.78,7401726.0
2018-01-04,74.1,75.215,74.01,74.57,8290882.0
2018-01-05,75.08,76.57,74.9101,76.49,6284834.0
2018-01-08,76.21,76.81,75.98,76.48,5288273.0
2018-01-09,77.02,77.23,75.835,76.59,4907416.0
2018-01-10,75.76,76.66,75.45,76.51,14777941.0
2018-01-11,76.54,76.78,76.04,76.14,9457918.0
2018-01-12,76.45,76.5905,75.68,75.85,4078360.0
2018-01-16,76.44,77.01,73.71,73.92,7014089.0
2018-01-17,74.41,74.6,72.86,74.14,4934217.0
2018-01-18,73.86,74.71,73.7213,74.23,5404561.0
2018-01-19,74.39,74.67,73.71,74.36,7203338.0
2018-01-22,74.6,74.6,73.58,74.16,5015449.0
2018-01-23,74.66,76.76,74.0,76.57,13687701.0
2018-01-24,77.13,78.88,76.78,77.81,6296999.0
2018-01-25,78.45,78.99,77.32,78.58,7840688.0
2018-01-26,79.21,80.45,79.0,80.3,17423391.0
2018-01-29,80.0,80.43,78.97,79.34,9719566.0
2018-01-30,77.58,79.27,76.7606,78.27,7326518.0
2018-01-31,79.0,80.56,79.0,79.88,6639164.0
2018-02-01,76.48,78.36,75.6911,76.01,8098044.0
2018-02-02,76.45,76.7,74.17,74.4,8326954.0
2018-02-05,72.9,75.38,71.59,72.51,10552374.0
2018-02-06,70.02,73.67,69.59,73.53,7436486.0
2018-02-07,73.16,74.19,72.1,72.16,3373111.0
2018-02-08,72.55,72.78,69.1,69.15,5742025.0
2018-02-09,70.57,70.77,67.86,70.48,6129819.0
2018-02-12,71.19,71.78,70.27,71.1,2654021.0
2018-02-13,70.72,72.44,70.55,71.31,5535298.0
2018-02-14,70.88,73.73,70.88,73.66,8043466.0
2018-02-15,74.25,74.7,73.23,74.4,4274181.0
2018-02-16,74.46,74.98,73.3,73.51,6982213.0
2018-02-20,72.83,75.26,72.78,74.59,5574265.0
2018-02-21,75.26,76.71,75.04,75.11,7147715.0
2018-02-22,75.83,75.99,75.06,75.52,9369245.0
2018-02-23,76.5,77.78,76.1,77.76,16053072.0
2018-02-26,78.43,78.68,76.715,78.08,18350174.0
2018-02-27,77.86,78.0,75.7717,76.13,12425652.0
2018-02-28,75.91,76.08,74.51,74.85,8566538.0
2018-03-01,75.04,75.39,72.91,73.74,9719881.0
