date,1. open,2. high,3. low,4. close,5. volume
2017-10-06,33.65,33.78,33.5247,33.75,13438950.0
2017-10-09,33.77,33.89,33.61,33.76,8684822.0
2017-10-10,33.88,33.91,33.47,33.55,17978700.0
2017-10-11,33.38,33.63,33.25,33.59,12353462.0
2017-10-12,33.26,33.46,33.17,33.26,17811160.0
2017-10-13,33.4,33.57,33.323,33.47,13451108.0
2017-10-16,33.6,33.64,33.47,33.54,10469019.0
2017-10-17,33.59,33.67,33.46,33.6,8633089.0
2017-10-18,33.72,33.75,33.44,33.55,9739887.0
2017-10-19,33.51,33.89,33.45,33.75,12928532.0
2017-10-20,34.02,34.39,34.01,34.25,24055347.0
2017-10-23,34.45,34.68,34.27,34.35,22490134.0
2017-10-24,34.4,34.675,34.25,34.58,15273905.0
2017-10-25,34.73,34.73,34.163,34.3,17012218.0
2017-10-26,34.41,34.51,34.07,34.27,14541155.0
2017-10-27,34.15,34.62,34.09,34.43,20237956.0
2017-10-30,34.32,34.38,33.8244,34.04,18241531.0
2017-10-31,33.98,34.24,33.96,34.15,13544441.0
2017-11-01,34.29,34.75,34.28,34.62,21831973.0
2017-11-02,34.55,34.64,34.16,34.21,19647242.0
2017-11-03,34.28,34.49,34.0269,34.47,13293171.0
2017-11-06,34.37,34.56,34.26,34.41,12725467.0
2017-11-07,34.32,34.48,34.2147,34.4,10980008.0
2017-11-08,34.31,34.5,34.12,34.5,13061334.0
2017-11-09,34.29,34.32,33.871,34.05,16266161.0
2017-11-10,34.06,34.09,33.67,33.99,19003147.0
2017-11-13,33.86,34.21,33.83,33.95,15608341.0
2017-11-14,33.86,34.16,33.8,34.04,15540925.0
2017-11-15,33.97,34.31,33.75,34.11,27797071.0
2017-11-16,36.04,36.67,35.83,35.88,59861205.0
2017-11-17,35.9,36.32,35.81,35.9,27106406.0
2017-11-20,35.93,36.54,35.93,36.5,26376364.0
2017-11-21,36.75,36.97,36.58,36.65,23986203.0
2017-11-22,36.7,36.715,36.36,36.45,16650130.0
2017-11-24,36.41,36.57,36.32,36.49,6155294.0
2017-11-27,36.51,37.09,36.5,36.87,20667352.0
2017-11-28,37.0,37.8,36.98,37.73,30097816.0
2017-11-29,37.75,38.025,37.23,37.48,36788586.0
2017-11-30,37.62,37.8,37.3,37.3,30749464.0
2017-12-01,37.09,37.66,36.73,37.6,26920869.0
2017-12-04,37.81,37.99,37.54,37.72,29006129.0
2017-12-05,37.74,37.82,37.17,37.31,22743474.0
2017-12-06,37.37,37.72,37.25,37.41,16312845.0
2017-12-07,37.26,37.78,37.26,37.4,15189086.0
2017-12-08,37.59,37.69,37.42,37.61,13777371.0
2017-12-11,37.59,38.04,37.57,37.96,15619388.0
2017-12-12,37.79,38.1,37.56,37.91,16451320.0
2017-12-13,38.09,38.37,38.0,38.15,19934529.0
2017-12-14,38.2,38.27,37.855,37.9,16556403.0
2017-12-15,38.01,38.28,37.7,38.19,36491640.0
2017-12-18,38.48,38.89,38.3,38.48,21036306.0
2017-12-19,38.66,38.86,38.28,38.3,18478762.0
2017-12-20,38.49,38.8,38.21,38.74,18701741.0
2017-12-21,38.88,38.995,38.49,38.53,16188471.0
2017-12-22,38.52,38.74,38.47,38.55,11120656.0
2017-12-26,38.55,38.68,38.36,38.48,8148042.0
2017-12-27,38.54,38.65,38.45,38.56,10262927.0
2017-12-28,38.73,38.73,38.45,38.59,8662664.0
2017-12-29,38.41,38.62,38.3,38.3,12359455.0
2018-01-02,38.67,38.95,38.43,38.86,19972431.0
2018-01-03,38.72,39.285,38.53,39.17,29066090.0
2018-01-04,39.05,39.54,38.93,38.99,20606344.0
2018-01-05,39.55,39.88,39.365,39.53,24369510.0
2018-01-08,39.52,39.96,39.35,39.94,16511704.0
2018-01-09,39.79,39.96,39.54,39.69,21339760.0
2018-01-10,39.65,40.24,39.63,39.91,19110146.0
2018-01-11,40.14,40.21,39.75,40.1,20178596.0
2018-01-12,40.22,40.93,40.05,40.87,22962700.0
2018-01-16,40.9,41.16,40.32,40.54,32273879.0
2018-01-17,40.84,41.32,40.705,41.2,23612126.0
2018-01-18,41.24,41.48,41.03,41.3,17450956.0
2018-01-19,41.28,41.52,41.1,41.29,23554383.0
2018-01-22,41.2,41.66,41.02,41.66,21794682.0
2018-01-23,41.54,42.13,41.54,42.1,21069503.0
2018-01-24,42.2,42.685,42.01,42.17,25739984.0
2018-01-25,42.27,42.47,41.82,41.9,18610206.0
2018-01-26,42.15,42.56,41.95,42.56,22637421.0
2018-01-29,42.3,42.98,42.3,42.85,23053104.0
2018-01-30,42.685,42.86,41.97,42.25,25671649.0
2018-01-31,41.98,42.01,41.35,41.54,34571282.0
2018-02-01,41.09,42.11,40.67,41.7,26001606.0
2018-02-02,41.5,41.95,40.87,40.93,25920378.0
2018-02-05,40.87,41.405,38.72,38.78,39491216.0
2018-02-06,38.33,40.305,37.35,40.17,52940550.0
2018-02-07,40.31,41.206,40.03,40.34,31841942.0
2018-02-08,40.44,40.76,38.72,38.77,39300118.0
2018-02-09,39.0,39.92,38.23,39.53,47947702.0
2018-02-12,40.515,40.91,40.225,40.6,37320696.0
2018-02-13,40.5,41.31,40.22,41.23,29220084.0
2018-02-14,41.04,42.26,40.99,42.09,39880261.0
2018-02-15,45.065,45.13,43.26,44.08,71490591.0
2018-02-16,43.885,45.09,43.79,44.33,37915915.0
2018-02-20,44.0,44.69,43.81,44.06,26258211.0
2018-02-21,44.11,44.42,43.28,43.31,27128222.0
2018-02-22,43.49,43.56,42.75,42.94,25627449.0
2018-02-23,43.37,44.04,42.92,44.0,24855689.0
2018-02-26,44.3,45.45,44.13,45.36,27226705.0
2018-02-27,45.41,45.61,44.62,45.04,26887782.0
2018-02-28,45.27,45.89,44.78,44.78,26346609.0
2018-03-01,44.68,45.0,43.35,43.8,32002216.0
