date,1. open,2. high,3. low,4. close,5. volume
2017-10-06,45.25,45.73,44.67,45.17,2546504.0
2017-10-09,45.34,45.91,44.9,45.85,3274568.0
2017-10-10,45.04,45.26,42.41,42.46,10107609.0
2017-10-11,42.55,42.76,41.7,41.96,4864956.0
2017-10-12,41.51,41.74,40.36,41.41,6133483.0
2017-10-13,42.04,42.079,41.1291,41.6,3019610.0
2017-10-16,42.0,42.77,41.7,42.73,4190082.0
2017-10-17,42.57,43.16,42.19,42.76,3386994.0
2017-10-18,42.8,43.61,42.52,42.65,4140951.0
2017-10-19,42.1,42.95,42.02,42.15,3677637.0
2017-10-20,42.05,42.15,41.47,41.53,4427273.0
2017-10-23,41.56,41.8598,40.28,40.3,5094666.0
2017-10-24,40.47,40.819,39.8001,40.14,4921291.0
2017-10-25,39.88,39.99,38.97,39.505,3601338.0
2017-10-26,39.56,40.0,38.895,39.59,3113643.0
2017-10-27,39.18,40.9737,39.11,40.74,3599748.0
2017-10-30,40.82,41.5,40.498,40.81,2323539.0
2017-10-31,40.8,41.53,40.5205,41.37,2065747.0
2017-11-01,41.77,42.69,41.52,42.23,3519129.0
2017-11-02,41.64,43.48,41.38,41.68,3530975.0
2017-11-03,41.77,43.2,41.69,42.75,3123484.0
2017-11-06,43.12,45.75,43.01,45.74,5444710.0
2017-11-07,45.92,46.47,45.08,45.19,3548774.0
2017-11-08,45.11,45.29,44.11,44.51,4365496.0
2017-11-09,44.32,45.63,44.14,45.24,3423828.0
2017-11-10,45.21,45.3552,44.0301,44.13,2236232.0
2017-11-13,44.0,44.0,43.25,43.49,1938660.0
2017-11-14,43.05,43.19,41.85,41.88,2450257.0
2017-11-15,41.32,41.585,40.72,41.03,2849794.0
2017-11-16,41.11,41.24,40.2,40.49,2450773.0
2017-11-17,40.85,41.36,40.66,41.18,2110950.0
2017-11-20,40.97,41.55,40.701,41.07,2706947.0
2017-11-21,41.33,41.9,41.24,41.44,1997247.0
2017-11-22,41.93,42.38,41.53,41.54,2092890.0
2017-11-24,41.77,41.93,41.11,41.14,1103677.0
2017-11-27,40.97,41.18,39.74,39.86,2938436.0
2017-11-28,39.9,40.34,39.52,40.27,2105699.0
2017-11-29,40.12,41.1,40.09,40.74,1787977.0
2017-11-30,41.01,42.09,41.0,41.83,3914022.0
2017-12-01,42.28,44.7689,42.24,44.22,5315914.0
2017-12-04,43.99,44.75,43.12,43.21,2755904.0
2017-12-05,43.04,43.24,42.03,42.15,1834583.0
2017-12-06,41.82,41.87,40.47,40.57,2654239.0
2017-12-07,40.55,41.2354,40.43,40.63,2189241.0
2017-12-08,41.128,41.4,40.59,40.7,3343205.0
2017-12-11,40.91,42.15,40.08,40.19,5176033.0
2017-12-12,40.49,40.79,39.32,39.72,4165757.0
2017-12-13,39.83,40.39,39.45,39.8,3768133.0
2017-12-14,39.95,40.23,39.35,39.42,3128713.0
2017-12-15,39.64,40.09,39.27,39.47,4646372.0
2017-12-18,39.56,40.15,39.2,39.92,3480235.0
2017-12-19,39.94,40.919,39.89,40.25,2612982.0
2017-12-20,40.59,41.36,40.05,41.26,2909544.0
2017-12-21,41.05,43.47,40.91,43.31,5127200.0
2017-12-22,43.43,43.56,42.591,42.91,2515793.0
2017-12-26,43.13,43.7,42.85,43.36,2096594.0
2017-12-27,43.3,43.35,42.62,42.89,2077114.0
2017-12-28,42.83,43.0699,42.67,42.87,2075640.0
2017-12-29,43.02,43.19,42.13,42.22,3167065.0
2018-01-02,42.65,44.46,42.54,44.3,4000822.0
