date,1. open,2. high,3. low,4. close,5. volume
2017-10-06,52.2,52.46,52.12,52.42,5233937.0
2017-10-09,52.23,52.3,51.5,51.52,6864820.0
2017-10-10,51.58,51.82,51.37,51.53,8349811.0
2017-10-11,51.39,51.52,50.83,51.03,8990627.0
2017-10-12,51.0,51.12,50.35,50.83,2646542.0
2017-10-13,50.83,51.07,50.4,50.98,4142470.0
2017-10-16,50.8,51.405,50.64,51.37,9295514.0
2017-10-17,51.5,52.04,51.38,52.0,9437231.0
2017-10-18,52.18,52.4,52.1,52.3,10729274.0
2017-10-19,51.66,52.8,51.48,52.69,12563336.0
2017-10-20,52.79,53.5,52.79,53.06,12357612.0
2017-10-23,53.06,53.95,53.0,53.66,12059509.0
2017-10-24,53.9,54.0,53.1,53.42,14727551.0
2017-10-25,53.43,55.905,52.67,54.9245,22918301.0
2017-10-26,55.26,57.25,55.14,56.81,21763064.0
2017-10-27,55.82,56.36,55.65,55.96,12452190.0
2017-10-30,55.71,55.93,54.84,55.27,9880004.0
2017-10-31,54.75,55.28,54.52,54.99,9691459.0
2017-11-01,55.42,55.5,54.85,55.07,7340709.0
2017-11-02,55.15,55.32,54.59,55.12,7150987.0
2017-11-03,55.15,55.72,55.04,55.71,9287951.0
2017-11-06,55.29,56.13,55.14,56.04,9236671.0
2017-11-07,55.75,56.015,55.02,55.15,7356767.0
2017-11-08,55.0,55.77,54.89,55.76,7079371.0
2017-11-09,55.5,56.35,55.31,56.13,10854910.0
2017-11-10,55.88,56.49,55.62,56.09,7533874.0
2017-11-13,55.66,56.085,55.66,55.91,10070701.0
2017-11-14,55.71,56.18,55.53,55.98,5023748.0
2017-11-15,55.96,56.87,55.08,56.63,6598543.0
2017-11-16,56.62,57.2775,56.41,57.23,7968197.0
2017-11-17,58.54,59.53,58.37,59.19,15275318.0
2017-11-20,58.63,59.5,57.98,59.25,8441225.0
2017-11-21,59.03,59.4,58.93,59.39,8644520.0
2017-11-22,59.18,59.34,58.94,59.07,8501289.0
2017-11-24,59.0,59.35,58.91,59.32,3400441.0
2017-11-27,59.2,59.7,59.17,59.63,7771640.0
2017-11-28,58.76,59.6,58.54,59.58,8639368.0
2017-11-29,59.73,60.63,59.73,60.36,12022818.0
2017-11-30,60.26,61.21,60.2,60.42,12551210.0
2017-12-01,60.42,60.43,59.24,59.88,10113675.0
2017-12-04,60.27,60.695,59.97,60.1,7507367.0
2017-12-05,60.65,60.8,59.65,60.42,8737956.0
2017-12-06,60.41,60.85,59.7,59.72,7806059.0
2017-12-07,59.86,61.06,59.65,60.6,6066962.0
2017-12-08,60.5,61.37,60.29,61.3,5913287.0
2017-12-11,61.37,62.22,61.3,61.91,8988202.0
2017-12-12,61.81,62.53,61.65,62.17,7319761.0
2017-12-13,62.22,64.46,62.02,64.3,15759848.0
2017-12-14,64.435,64.85,64.05,64.53,12968876.0
2017-12-15,64.93,65.07,64.15,64.79,15158735.0
2017-12-18,64.99,65.08,64.39,64.81,12633649.0
2017-12-19,65.09,65.185,64.18,64.24,8197588.0
2017-12-20,64.4,64.5,63.58,63.59,12358225.0
2017-12-21,64.33,64.98,63.3,64.77,13218571.0
2017-12-22,61.21,63.54,60.13,63.29,20369725.0
2017-12-26,62.9,63.89,62.81,63.65,4438641.0
2017-12-27,63.56,63.6,62.77,62.95,6091767.0
2017-12-28,63.0,63.32,62.85,62.95,3950551.0
2017-12-29,63.21,63.37,62.55,62.55,5195058.0
2018-01-02,62.85,63.49,62.85,63.49,5559283.0
2018-01-03,63.48,63.66,62.76,63.48,6086964.0
2018-01-04,63.4,63.55,62.55,63.44,5727712.0
2018-01-05,63.7,64.3,63.4701,63.98,11482945.0
2018-01-08,64.15,64.71,63.98,64.55,11888826.0
2018-01-09,64.23,64.72,63.47,64.09,6697632.0
2018-01-10,63.88,64.23,63.435,64.22,4902505.0
2018-01-11,64.03,64.31,63.78,64.29,5049597.0
2018-01-12,64.5,64.725,64.315,64.67,5045094.0
2018-01-16,64.78,65.36,63.37,63.42,8884907.0
2018-01-17,63.67,64.01,63.08,63.81,7335906.0
2018-01-18,64.0,64.21,63.54,64.11,5454607.0
2018-01-19,65.31,67.24,65.12,67.21,12634645.0
2018-01-22,66.55,66.83,65.76,66.39,8294425.0
2018-01-23,66.53,67.325,66.445,67.14,6322747.0
2018-01-24,67.34,68.18,67.07,68.0,7356739.0
2018-01-25,68.13,68.64,67.45,67.71,5642681.0
2018-01-26,68.2,68.64,67.92,68.04,6156767.0
2018-01-29,67.82,68.14,67.42,67.58,4868088.0
2018-01-30,67.5,68.31,67.16,67.33,6281296.0
2018-01-31,67.5,68.83,67.47,68.22,10964483.0
2018-02-01,67.67,67.97,66.7,67.65,5712096.0
2018-02-02,67.22,67.79,67.0,67.22,9235431.0
2018-02-05,66.63,67.21,64.39,64.39,12328769.0
2018-02-06,62.48,65.42,62.09,65.22,13232997.0
2018-02-07,65.15,66.841,65.1,65.63,8746674.0
2018-02-08,65.53,65.71,62.46,62.49,13707703.0
2018-02-09,63.76,66.05,62.84,65.49,13692782.0
2018-02-12,65.94,66.815,65.68,65.98,9744722.0
2018-02-13,65.85,66.23,65.43,65.87,9517268.0
2018-02-14,65.72,68.03,65.55,67.96,8587026.0
2018-02-15,68.39,68.76,67.25,68.29,7383161.0
2018-02-16,67.9,69.0,67.74,68.3,6812885.0
2018-02-20,67.64,67.97,67.05,67.49,4818245.0
2018-02-21,67.66,68.02,67.03,67.05,5006910.0
2018-02-22,67.25,67.48,66.74,67.13,6462619.0
2018-02-23,67.39,68.16,66.85,68.16,4359181.0
2018-02-26,68.39,69.81,68.34,69.65,6122074.0
2018-02-27,70.0,70.25,68.03,68.03,6808215.0
2018-02-28,68.1,68.3,67.01,67.03,6069042.0
2018-03-01,67.24,67.67,65.67,66.32,7262831.0
