date,1. open,2. high,3. low,4. close,5. volume
2017-10-06,5.89,5.92,5.87,5.91,7151337.0
2017-10-09,5.93,5.95,5.91,5.92,5546386.0
2017-10-10,5.96,5.97,5.87,5.92,13350960.0
2017-10-11,5.89,5.89,5.85,5.88,7702844.0
2017-10-12,5.82,5.86,5.79,5.83,8778233.0
2017-10-13,5.92,5.94,5.9,5.93,10651744.0
2017-10-16,5.91,5.93,5.85,5.87,7181889.0
2017-10-17,5.85,5.86,5.82,5.83,6370915.0
2017-10-18,5.88,5.89,5.84,5.86,4605802.0
2017-10-19,5.8,5.87,5.79,5.82,6489768.0
2017-10-20,6.02,6.11,6.0,6.08,18361407.0
2017-10-23,6.06,6.08,6.02,6.03,7990811.0
2017-10-24,6.01,6.02,5.97,5.99,5799053.0
2017-10-25,6.0,6.05,5.95,6.05,14077040.0
2017-10-26,4.92,5.0,4.75,4.76,75364383.0
2017-10-27,4.99,5.0,4.82,4.91,43810471.0
2017-10-30,4.83,4.87,4.8,4.82,20413065.0
2017-10-31,4.89,4.9,4.85,4.89,15207895.0
2017-11-01,4.92,5.0,4.91,4.94,15602689.0
2017-11-02,4.99,5.03,4.97,5.03,12914239.0
2017-11-03,4.98,4.98,4.91,4.97,10048228.0
2017-11-06,5.03,5.14,5.03,5.09,21454887.0
2017-11-07,4.95,5.08,4.95,5.05,27925504.0
2017-11-08,5.01,5.05,5.0,5.05,16215094.0
2017-11-09,4.93,4.97,4.92,4.96,18512124.0
2017-11-10,4.91,4.95,4.88,4.91,19810116.0
2017-11-13,4.85,4.89,4.84,4.86,10543259.0
2017-11-14,4.83,4.84,4.79,4.83,8623133.0
2017-11-15,4.85,4.89,4.82,4.84,15281111.0
2017-11-16,4.9,4.95,4.88,4.92,14750077.0
2017-11-17,4.95,4.97,4.91,4.94,8117695.0
2017-11-20,5.01,5.05,4.99,5.01,17628406.0
2017-11-21,5.01,5.07,5.01,5.05,15375605.0
2017-11-22,5.04,5.06,5.02,5.05,7396462.0
2017-11-24,5.1,5.11,5.06,5.08,3944707.0
2017-11-27,5.01,5.05,5.0,5.01,9255794.0
2017-11-28,5.01,5.07,5.0,5.05,12832253.0
2017-11-29,5.03,5.04,4.96,5.02,21255420.0
2017-11-30,4.98,5.05,4.97,5.01,16616778.0
2017-12-01,4.95,4.97,4.9,4.95,11760079.0
2017-12-04,4.79,4.8,4.73,4.74,18383311.0
2017-12-05,4.76,4.78,4.7,4.7,14754102.0
2017-12-06,4.7,4.7593,4.68,4.72,10902099.0
2017-12-07,4.69,4.72,4.62,4.63,15909655.0
2017-12-08,4.63,4.65,4.61,4.64,9519868.0
2017-12-11,4.6,4.62,4.57,4.58,19692032.0
2017-12-12,4.56,4.57,4.51,4.55,17256661.0
2017-12-13,4.63,4.72,4.6207,4.68,18893662.0
2017-12-14,4.655,4.67,4.61,4.61,7906830.0
2017-12-15,4.64,4.6493,4.575,4.61,19009599.0
2017-12-18,4.68,4.71,4.67,4.69,8308993.0
2017-12-19,4.72,4.73,4.66,4.67,6292196.0
2017-12-20,4.63,4.64,4.6,4.62,11700593.0
2017-12-21,4.695,4.83,4.69,4.79,23144081.0
2017-12-22,4.815,4.83,4.75,4.78,7492329.0
2017-12-26,4.77,4.8,4.74,4.78,7646398.0
2017-12-27,4.72,4.76,4.7,4.73,11006677.0
2017-12-28,4.7,4.73,4.69,4.71,9542033.0
2017-12-29,4.69,4.7,4.66,4.66,10836571.0
2018-01-02,4.72,4.78,4.68,4.76,11234451.0
2018-01-03,4.79,4.83,4.78,4.83,9007171.0
2018-01-04,4.88,4.91,4.86,4.89,9894315.0
2018-01-05,4.87,4.92,4.84,4.92,14411973.0
2018-01-08,4.87,4.89,4.86,4.88,10337377.0
2018-01-09,4.89,4.91,4.87,4.9,8067971.0
2018-01-10,4.83,4.86,4.79,4.85,16296896.0
2018-01-11,4.82,4.83,4.8,4.82,9882335.0
2018-01-12,4.85,4.88,4.82,4.87,7052692.0
2018-01-16,4.97,4.98,4.92,4.96,12399913.0
2018-01-17,4.97,5.0,4.94,4.95,10801709.0
2018-01-18,4.87,4.91,4.82,4.84,16379317.0
2018-01-19,4.9,4.91,4.83,4.84,12564644.0
2018-01-22,4.89,4.92,4.85,4.9,16071223.0
2018-01-23,4.9,4.93,4.9,4.92,6856661.0
2018-01-24,4.9,4.93,4.88,4.91,12963777.0
2018-01-25,4.89,4.89,4.76,4.8,23514102.0
2018-01-26,4.82,4.84,4.77,4.81,21352809.0
2018-01-29,4.9,4.97,4.89,4.96,35356419.0
2018-01-30,4.94,4.96,4.91,4.96,11555891.0
2018-01-31,4.84,4.85,4.75,4.81,26258880.0
2018-02-01,5.35,5.605,5.3,5.4,68413480.0
2018-02-02,5.51,5.529,5.38,5.4,33167169.0
2018-02-05,5.51,5.565,5.29,5.32,38115123.0
2018-02-06,5.39,5.55,5.38,5.51,54179808.0
2018-02-07,5.55,5.61,5.49,5.51,25095055.0
2018-02-08,5.5,5.51,5.35,5.36,26385905.0
2018-02-09,5.44,5.48,5.23,5.4,27551439.0
2018-02-12,5.49,5.54,5.46,5.51,18404698.0
2018-02-13,5.49,5.525,5.48,5.51,13048183.0
2018-02-14,5.48,5.675,5.47,5.65,23128283.0
2018-02-15,5.74,5.76,5.67,5.73,18949133.0
2018-02-16,5.77,5.8,5.72,5.76,19577342.0
2018-02-20,5.74,5.78,5.7,5.73,14894851.0
2018-02-21,5.75,5.81,5.69,5.69,17741427.0
2018-02-22,5.71,5.76,5.685,5.71,13451971.0
2018-02-23,5.71,5.83,5.7,5.8,16355612.0
2018-02-26,5.9,5.94,5.87,5.93,11659957.0
2018-02-27,5.91,5.95,5.86,5.87,17203875.0
2018-02-28,5.88,5.895,5.79,5.8,11084256.0
2018-03-01,5.77,5.85,5.71,5.76,16202188.0
