date,1. open,2. high,3. low,4. close,5. volume
2017-10-06,38.84,39.05,38.54,38.59,22416654.0
2017-10-09,38.65,38.67,38.15,38.3,19232767.0
2017-10-10,38.35,38.61,38.27,38.5,17265687.0
2017-10-11,38.52,38.61,38.05,38.19,26607120.0
2017-10-12,37.49,37.53,35.83,35.86,81104374.0
2017-10-13,35.84,36.04,35.25,35.7,55687849.0
2017-10-16,35.82,36.45,35.75,36.17,31066469.0
2017-10-17,36.17,36.29,35.99,36.23,21520125.0
2017-10-18,36.23,36.28,35.51,35.71,36480053.0
2017-10-19,35.93,36.33,35.59,35.69,32352849.0
2017-10-20,35.79,35.84,35.4,35.54,37240295.0
2017-10-23,35.42,35.66,35.19,35.25,30781136.0
2017-10-24,35.31,35.36,34.81,34.86,47005821.0
2017-10-25,34.26,34.35,33.33,33.4854,91170783.0
2017-10-26,33.75,33.89,33.6,33.68,45048573.0
2017-10-27,33.68,34.02,33.54,33.97,52300035.0
2017-10-30,34.02,34.33,33.39,33.54,51575879.0
2017-10-31,33.64,33.84,33.43,33.65,36247813.0
2017-11-01,33.86,33.94,33.29,33.55,37593333.0
2017-11-02,33.57,34.424,32.93,33.17,72880159.0
2017-11-03,33.34,33.39,32.95,33.3,40189142.0
2017-11-06,33.07,33.08,32.55,32.86,47701373.0
2017-11-07,32.83,33.12,32.7143,33.07,29898256.0
2017-11-08,32.85,33.5,32.78,33.44,87599244.0
2017-11-09,33.43,34.453,33.35,34.0,69625103.0
2017-11-10,34.17,34.48,34.1,34.22,57445443.0
2017-11-13,34.28,34.36,34.14,34.17,28716679.0
2017-11-14,34.19,34.2,33.58,33.72,29820096.0
2017-11-15,34.02,34.2,33.65,33.81,32772582.0
2017-11-16,33.86,34.66,33.81,34.52,39909607.0
2017-11-17,34.43,34.88,34.35,34.51,36883419.0
2017-11-20,34.55,34.9,34.44,34.64,30310660.0
2017-11-21,34.6,34.75,34.29,34.33,35232748.0
2017-11-22,34.28,34.91,34.2,34.87,26453909.0
2017-11-24,34.87,34.95,34.74,34.81,9203078.0
2017-11-27,34.84,35.01,34.55,34.68,26434472.0
2017-11-28,34.56,35.54,34.56,35.42,34375685.0
2017-11-29,35.48,36.55,35.41,36.48,53178129.0
2017-11-30,36.5,36.9,36.025,36.38,49831258.0
2017-12-01,36.35,36.75,35.925,36.5,31437115.0
2017-12-04,36.795,37.54,36.75,37.27,39850781.0
2017-12-05,37.2,37.29,36.52,36.55,31812442.0
2017-12-06,36.41,36.45,36.025,36.11,30901893.0
2017-12-07,36.13,36.4,35.81,36.17,24400622.0
2017-12-08,36.16,36.75,36.15,36.73,25299789.0
2017-12-11,36.65,36.94,36.52,36.9,23666709.0
2017-12-12,37.03,38.17,36.98,38.1,45683925.0
2017-12-13,38.01,38.19,37.37,38.04,39396171.0
2017-12-14,37.835,38.1556,37.68,37.74,32661331.0
2017-12-15,38.08,38.29,37.93,38.24,43944437.0
2017-12-18,38.51,38.89,38.385,38.46,30137512.0
2017-12-19,38.5,38.6785,38.03,38.05,28599008.0
2017-12-20,38.28,38.84,38.18,38.55,26784787.0
2017-12-21,38.59,39.29,38.471,38.88,31760055.0
2017-12-22,38.77,39.11,38.7,38.94,17862828.0
2017-12-26,38.95,39.325,38.95,39.06,13534002.0
2017-12-27,39.08,39.14,38.71,38.89,15577637.0
2017-12-28,39.0,39.2,38.88,39.18,15617585.0
2017-12-29,39.22,39.32,38.88,38.88,26340985.0
2018-01-02,39.06,39.06,38.36,38.54,31778098.0
2018-01-03,38.47,38.49,37.53,37.65,38545760.0
2018-01-04,37.75,38.19,37.26,38.0,27738779.0
2018-01-05,38.14,38.16,37.8,38.14,21786523.0
2018-01-08,38.15,38.48,37.85,38.25,26547486.0
2018-01-09,37.63,37.99,37.48,37.49,27943977.0
2018-01-10,37.39,37.39,36.54,36.62,40966949.0
2018-01-11,36.67,36.77,36.37,36.48,37723349.0
2018-01-12,36.48,36.99,36.32,36.9,30950401.0
