date,1. open,2. high,3. low,4. close,5. volume
2018-02-15 09:30:00,102.55,102.63,102.55,102.63,82821.0
2018-02-15 09:31:00,102.62,102.63,102.23,102.4655,16902.0
2018-02-15 09:32:00,102.44,102.44,101.94,101.95,18670.0
2018-02-15 09:33:00,101.97,102.18,101.97,102.11,18710.0
2018-02-15 09:34:00,102.11,102.17,102.11,102.11,11397.0
2018-02-15 09:35:00,102.1,102.12,101.89,102.07,33385.0
2018-02-15 09:36:00,102.055,102.09,101.94,101.96,12932.0
2018-02-15 09:37:00,101.96,102.17,101.96,102.17,13932.0
2018-02-15 09:38:00,102.18,102.24,102.14,102.23,18129.0
2018-02-15 09:39:00,102.23,102.35,102.23,102.25,14227.0
2018-02-15 09:40:00,102.27,102.42,102.27,102.3286,18468.0
2018-02-15 09:41:00,102.3396,102.37,102.26,102.29,9707.0
2018-02-15 09:42:00,102.28,102.37,102.24,102.3,21515.0
2018-02-15 09:43:00,102.3,102.36,102.25,102.28,23874.0
2018-02-15 09:44:00,102.25,102.3,102.2301,102.29,12800.0
2018-02-15 09:45:00,102.29,102.3,102.12,102.12,15187.0
2018-02-15 09:46:00,102.12,102.19,102.0586,102.09,17845.0
2018-02-15 09:47:00,102.08,102.15,102.05,102.1,19669.0
2018-02-15 09:48:00,102.12,102.2,102.11,102.115,9542.0
2018-02-15 09:49:00,102.13,102.14,102.1,102.125,12099.0
2018-02-15 09:50:00,102.12,102.19,102.0928,102.18,10975.0
2018-02-15 09:51:00,102.2,102.26,102.19,102.215,12784.0
2018-02-15 09:52:00,102.23,102.28,102.208,102.28,14041.0
2018-02-15 09:53:00,102.28,102.34,102.28,102.34,12707.0
2018-02-15 09:54:00,102.33,102.34,102.24,102.25,15582.0
2018-02-15 09:55:00,102.24,102.355,102.23,102.34,18384.0
2018-02-15 09:56:00,102.35,102.46,102.34,102.46,12564.0
2018-02-15 09:57:00,102.46,102.49,102.39,102.41,17960.0
2018-02-15 09:58:00,102.41,102.49,102.41,102.49,9205.0
2018-02-15 09:59:00,102.49,102.55,102.475,102.5449,12850.0
2018-02-15 10:00:00,102.54,102.58,102.49,102.515,13018.0
2018-02-15 10:01:00,102.53,102.56,102.465,102.465,12381.0
2018-02-15 10:02:00,102.47,102.55,102.435,102.54,20499.0
2018-02-15 10:03:00,102.55,102.64,102.55,102.58,12928.0
2018-02-15 10:04:00,102.585,102.68,102.585,102.66,18327.0
2018-02-15 10:05:00,102.66,102.7,102.64,102.66,24399.0
2018-02-15 10:06:00,102.65,102.72,102.59,102.61,25392.0
2018-02-15 10:07:00,102.6,102.65,102.6,102.6419,9147.0
2018-02-15 10:08:00,102.63,102.64,102.54,102.59,13664.0
2018-02-15 10:09:00,102.58,102.609,102.52,102.53,12046.0
2018-02-15 10:10:00,102.54,102.55,102.47,102.5124,11000.0
2018-02-15 10:11:00,102.52,102.52,102.3628,102.4,14085.0
2018-02-15 10:12:00,102.4,102.49,102.4,102.49,12148.0
2018-02-15 10:13:00,102.485,102.56,102.48,102.54,24193.0
2018-02-15 10:14:00,102.53,102.54,102.4601,102.49,11765.0
2018-02-15 10:15:00,102.49,102.53,102.44,102.45,8645.0
2018-02-15 10:16:00,102.465,102.465,102.36,102.37,7491.0
2018-02-15 10:17:00,102.38,102.3905,102.22,102.22,11197.0
2018-02-15 10:18:00,102.24,102.3199,102.2,102.285,10561.0
2018-02-15 10:19:00,102.29,102.32,102.23,102.3,7378.0
2018-02-15 10:20:00,102.3,102.3518,102.26,102.32,9971.0
2018-02-15 10:21:00,102.33,102.45,102.29,102.43,8474.0
2018-02-15 10:22:00,102.42,102.52,102.42,102.52,11311.0
2018-02-15 10:23:00,102.52,102.56,102.4901,102.541,16437.0
2018-02-15 10:24:00,102.55,102.56,102.5,102.52,11116.0
2018-02-15 10:25:00,102.54,102.6001,102.52,102.55,12894.0
2018-02-15 10:26:00,102.56,102.59,102.53,102.59,6550.0
2018-02-15 10:27:00,102.58,102.61,102.55,102.61,7917.0
2018-02-15 10:28:00,102.62,102.68,102.62,102.64,9615.0
2018-02-15 10:29:00,102.64,102.66,102.58,102.6,11973.0
2018-02-15 10:30:00,102.61,102.66,102.55,102.55,10303.0
2018-02-15 10:31:00,102.56,102.61,102.55,102.559,8012.0
2018-02-15 10:32:00,102.54,102.56,102.5,102.52,9473.0
2018-02-15 10:33:00,102.51,102.57,102.51,102.52,7355.0
2018-02-15 10:34:00,102.5,102.55,102.45,102.55,16802.0
2018-02-15 10:35:00,102.56,102.57,102.47,102.49,11027.0
2018-02-15 10:36:00,102.48,102.55,102.47,102.475,9368.0
2018-02-15 10:37:00,102.48,102.54,102.48,102.515,11876.0
2018-02-15 10:38:00,102.53,102.54,102.44,102.4405,8655.0
2018-02-15 10:39:00,102.45,102.46,102.39,102.43,15867.0
2018-02-15 10:40:00,102.4238,102.46,102.4,102.405,20002.0
2018-02-15 10:41:00,102.38,102.46,102.3788,102.42,14028.0
2018-02-15 10:42:00,102.41,102.42,102.3,102.32,15182.0
2018-02-15 10:43:00,102.31,102.33,102.23,102.246,11671.0
2018-02-15 10:44:00,102.24,102.26,102.13,102.14,13191.0
2018-02-15 10:45:00,102.15,102.19,102.06,102.06,15551.0
2018-02-15 10:46:00,102.07,102.1,102.04,102.08,20756.0
2018-02-15 10:47:00,102.079,102.1,102.03,102.038,15123.0
2018-02-15 10:48:00,102.04,102.12,102.02,102.12,18778.0
2018-02-15 10:49:00,102.13,102.19,102.13,102.17,13432.0
2018-02-15 10:50:00,102.17,102.1783,102.06,102.08,12766.0
2018-02-15 10:51:00,102.09,102.15,102.0855,102.14,12518.0
2018-02-15 10:52:00,102.145,102.145,102.07,102.09,17478.0
2018-02-15 10:53:00,102.1,102.12,102.07,102.07,15914.0
2018-02-15 10:54:00,102.06,102.12,102.03,102.09,18022.0
2018-02-15 10:55:00,102.11,102.17,102.11,102.15,7670.0
2018-02-15 10:56:00,102.16,102.16,102.02,102.04,10844.0
2018-02-15 10:57:00,102.09,102.23,102.09,102.19,8726.0
2018-02-15 10:58:00,102.201,102.22,102.09,102.11,7576.0
