date,MACD_Signal,MACD_Hist,MACD
2014-05-14,-10.628,2.9706,-7.6574
2014-05-15,-9.9996,2.5136,-7.486
2014-05-16,-9.4426,2.2281,-7.2145
2014-05-19,-8.8067,2.5436,-6.2631
2014-05-20,-8.1201,2.7464,-5.3737
2014-05-21,-7.2729,3.3887,-3.8842
2014-05-22,-6.2553,4.0706,-2.1847
2014-05-23,-5.048,4.8292,-0.2188
2014-05-27,-3.5622,5.9431,2.3809
2014-05-28,-2.0398,6.0897,4.0499
2014-05-29,-0.5951,5.7788,5.1838
2014-05-30,0.7235,5.2744,5.9979
2014-06-02,1.7972,4.2947,6.092
2014-06-03,2.5136,2.8655,5.3791
2014-06-04,2.9583,1.7786,4.7369
2014-06-05,3.35,1.5669,4.9169
2014-06-06,3.7191,1.4766,5.1957
2014-06-09,4.1387,1.6782,5.8168
2014-06-10,4.5333,1.5786,6.1119
2014-06-11,4.8541,1.283,6.1371
2014-06-12,4.9811,0.5082,5.4894
2014-06-13,4.9753,-0.0233,4.952
2014-06-16,4.7558,-0.8779,3.8779
2014-06-17,4.3828,-1.492,2.8909
2014-06-18,4.0885,-1.1774,2.911
2014-06-19,3.8739,-0.8582,3.0157
2014-06-20,3.7351,-0.5553,3.1798
2014-06-23,3.7796,0.1778,3.9574
2014-06-24,3.9227,0.5725,4.4952
2014-06-25,4.3351,1.6495,5.9845
2014-06-26,4.8424,2.0294,6.8718
2014-06-27,5.3914,2.1961,7.5875
2014-06-30,5.8942,2.0112,7.9055
2014-07-01,6.4462,2.2078,8.654
2014-07-02,6.98,2.1351,9.1151
2014-07-03,7.4967,2.0669,9.5636
2014-07-07,7.919,1.6891,9.6081
2014-07-08,8.0638,0.5794,8.6432
2014-07-09,8.0884,0.0984,8.1869
2014-07-10,7.9385,-0.5998,7.3387
2014-07-11,7.7978,-0.5627,7.2352
2014-07-14,7.7434,-0.2179,7.5255
2014-07-15,7.7267,-0.0667,7.66
2014-07-16,7.6831,-0.1742,7.509
2014-07-17,7.4651,-0.8724,6.5927
2014-07-18,7.4726,0.0302,7.5028
2014-07-21,7.5147,0.1682,7.6829
2014-07-22,7.6431,0.5137,8.1568
2014-07-23,7.8213,0.7128,8.534
2014-07-24,7.9615,0.561,8.5226
2014-07-25,7.9834,0.0876,8.071
2014-07-28,7.937,-0.1857,7.7513
2014-07-29,7.7525,-0.738,7.0145
2014-07-30,7.5023,-1.0007,6.5016
2014-07-31,6.9546,-2.1909,4.7637
2014-08-01,6.145,-3.2384,2.9066
2014-08-04,5.3127,-3.3293,1.9834
2014-08-05,4.3687,-3.7759,0.5928
2014-08-06,3.4151,-3.8144,-0.3994
2014-08-07,2.4496,-3.8621,-1.4126
2014-08-08,1.6079,-3.3667,-1.7588
2014-08-11,0.8701,-2.9511,-2.0809
2014-08-12,0.152,-2.8725,-2.7205
2014-08-13,-0.3242,-1.905,-2.2293
2014-08-14,-0.6253,-1.2041,-1.8294
2014-08-15,-0.8179,-0.7706,-1.5886
2014-08-18,-0.7922,0.1028,-0.6894
2014-08-19,-0.5542,0.9521,0.3979
2014-08-20,-0.2321,1.2883,1.0562
2014-08-21,0.1084,1.3621,1.4705
2014-08-22,0.4295,1.2843,1.7138
2014-08-25,0.6829,1.0137,1.6966
2014-08-26,0.8417,0.6354,1.4771
2014-08-27,0.8216,-0.0805,0.7411
2014-08-28,0.6598,-0.6474,0.0124
2014-08-29,0.4544,-0.8216,-0.3672
2014-09-02,0.3228,-0.5262,-0.2034
2014-09-03,0.2535,-0.2774,-0.024
2014-09-04,0.2906,0.1485,0.4391
2014-09-05,0.4573,0.6667,1.124
2014-09-08,0.7534,1.1847,1.9381
2014-09-09,0.9746,0.8845,1.8591
2014-09-10,1.1682,0.7745,1.9427
2014-09-11,1.3038,0.5426,1.8465
2014-09-12,1.3017,-0.0087,1.2929
2014-09-15,1.17,-0.5265,0.6435
2014-09-16,1.0708,-0.397,0.6738
