date,SlowK,SlowD
2014-04-08,16.7035,16.1483
2014-04-09,37.1336,22.5157
2014-04-10,41.5007,31.7793
2014-04-11,33.0859,37.2401
2014-04-14,17.721,30.7692
2014-04-15,21.4099,24.0723
2014-04-16,45.191,28.1073
2014-04-17,55.307,40.636
2014-04-21,51.3182,50.6054
2014-04-22,38.1853,48.2702
2014-04-23,24.351,37.9515
2014-04-24,19.2646,27.2669
2014-04-25,6.2851,16.6335
2014-04-28,18.7555,14.7684
2014-04-29,41.7683,22.2696
2014-04-30,68.1747,42.8995
2014-05-01,85.8671,65.27
2014-05-02,86.0016,80.0145
2014-05-05,80.0967,83.9885
2014-05-06,48.6522,71.5835
2014-05-07,29.0351,52.5947
2014-05-08,15.7326,31.14
2014-05-09,35.6829,26.8169
2014-05-12,61.4503,37.6219
2014-05-13,83.3919,60.175
2014-05-14,86.7815,77.2079
2014-05-15,70.2875,80.1536
2014-05-16,48.3712,68.4801
2014-05-19,46.574,55.0776
2014-05-20,53.0453,49.3302
2014-05-21,77.6519,59.0904
2014-05-22,86.669,72.4554
2014-05-23,96.1576,86.8261
2014-05-27,96.4564,93.0943
2014-05-28,93.3742,95.3294
2014-05-29,84.6842,91.505
2014-05-30,73.7485,83.9357
2014-06-02,58.4925,72.3084
2014-06-03,37.8683,56.7031
2014-06-04,23.3145,39.8918
2014-06-05,33.2972,31.4933
2014-06-06,56.6031,37.7383
2014-06-09,81.0578,56.9861
2014-06-10,87.9548,75.2053
2014-06-11,86.5467,85.1865
2014-06-12,60.6528,78.3848
2014-06-13,42.8667,63.3554
2014-06-16,21.9855,41.835
2014-06-17,21.5919,28.8147
2014-06-18,35.2162,26.2645
2014-06-19,64.1702,40.3261
2014-06-20,89.306,62.8975
2014-06-23,97.494,83.6567
2014-06-24,88.3675,91.7225
2014-06-25,89.2073,91.6896
2014-06-26,82.5658,86.7135
2014-06-27,85.7467,85.8399
2014-06-30,75.9877,81.4334
2014-07-01,79.6876,80.474
2014-07-02,78.2303,77.9685
2014-07-03,87.3447,81.7542
2014-07-07,78.4223,81.3324
2014-07-08,60.843,75.5367
2014-07-09,45.8768,61.714
2014-07-10,33.9497,46.8898
2014-07-11,47.8625,42.563
2014-07-14,64.3006,48.7042
2014-07-15,86.5145,66.2259
2014-07-16,89.6165,80.1439
2014-07-17,65.468,80.533
2014-07-18,65.0764,73.387
2014-07-21,64.5892,65.0445
2014-07-22,84.026,71.2306
2014-07-23,82.1187,76.9113
2014-07-24,78.8881,81.6776
2014-07-25,59.584,73.5303
2014-07-28,43.2746,60.5822
2014-07-29,26.208,43.0222
2014-07-30,25.5945,31.6924
2014-07-31,14.8821,22.2282
2014-08-01,14.1334,18.2033
2014-08-04,18.7775,15.931
2014-08-05,19.4566,17.4558
2014-08-06,24.8204,21.0181
2014-08-07,19.0509,21.1093
2014-08-08,35.0459,26.3057
2014-08-11,47.9875,34.0281
2014-08-12,49.4746,44.1694
2014-08-13,63.2629,53.575
2014-08-14,68.4979,60.4118
2014-08-15,82.696,71.4856
2014-08-18,79.8815,77.0251
2014-08-19,85.3133,82.6303
2014-08-20,90.2959,85.1636
2014-08-21,85.7433,87.1175
2014-08-22,72.4338,82.8243
2014-08-25,49.5447,69.2406
2014-08-26,28.295,50.0912
2014-08-27,10.9881,29.6092
2014-08-28,10.0516,16.4449
2014-08-29,14.2583,11.766
2014-09-02,35.5009,19.937
2014-09-03,54.4014,34.7202
2014-09-04,72.2336,54.0453
2014-09-05,81.5442,69.393
2014-09-08,88.797,80.8583
2014-09-09,74.488,81.6097
2014-09-10,55.8047,73.0299
2014-09-11,36.7309,55.6745
2014-09-12,27.0188,39.8515
2014-09-15,21.0133,28.2543
2014-09-16,35.6682,27.9001
2014-09-17,62.0208,39.5674
2014-09-18,87.0918,61.5936
2014-09-19,94.3595,81.1573
2014-09-22,86.358,89.2698
2014-09-23,57.8804,79.5326
2014-09-24,40.6202,61.6196
2014-09-25,21.3507,39.9504
2014-09-26,21.8404,27.9371
2014-09-29,15.6105,19.6006
2014-09-30,25.4725,20.9745
2014-10-01,22.5518,21.2116
2014-10-02,26.812,24.9454
2014-10-03,39.7524,29.7054
2014-10-06,64.2013,43.5886
2014-10-07,51.3614,51.7717
2014-10-08,48.5253,54.696
2014-10-09,26.88,42.2556
2014-10-10,26.4851,33.9635
2014-10-13,5.2903,19.5518
2014-10-14,4.4401,12.0718
2014-10-15,11.3941,7.0415
2014-10-16,17.6308,11.155
2014-10-17,15.8225,14.9491
2014-10-20,19.3353,17.5962
2014-10-21,37.897,24.3516
2014-10-22,61.6271,39.6198
2014-10-23,81.3359,60.2867
2014-10-24,83.4445,75.4692
2014-10-27,83.2513,82.6772
2014-10-28,85.8799,84.1919
