date,EMA
2014-04-24,546.4165
2014-04-25,543.5368
2014-04-28,541.0238
2014-04-29,539.7549
2014-04-30,538.5077
2014-05-01,537.826
2014-05-02,536.8836
2014-05-05,536.0194
2014-05-06,534.0309
2014-05-07,531.7384
2014-05-08,529.7633
2014-05-09,528.7126
2014-05-12,528.8275
2014-05-13,529.2335
2014-05-14,528.9874
2014-05-15,528.1296
2014-05-16,527.4153
2014-05-19,527.5529
2014-05-20,527.7641
2014-05-21,528.8285
2014-05-22,530.3743
2014-05-23,532.5006
2014-05-27,535.6862
2014-05-28,538.1618
2014-05-29,540.2493
2014-05-30,542.1198
2014-06-02,543.2446
2014-06-03,543.4061
2014-06-04,543.5255
2014-06-05,544.5135
2014-06-06,545.6389
2014-06-09,547.2085
2014-06-10,548.4792
2014-06-11,549.4659
2014-06-12,549.6453
2014-06-13,549.8467
2014-06-16,549.3166
2014-06-17,548.7159
2014-06-18,549.1592
2014-06-19,549.7059
2014-06-20,550.3397
2014-06-23,551.7311
2014-06-24,552.9586
2014-06-25,555.4054
2014-06-26,557.3668
2014-06-27,559.2595
2014-06-30,560.7853
2014-07-01,562.8695
2014-07-02,564.7234
2014-07-03,566.6288
2014-07-07,568.1165
2014-07-08,568.3997
2014-07-09,569.1312
2014-07-10,569.3187
2014-07-11,570.2578
2014-07-14,571.6495
2014-07-15,572.9
2014-07-16,573.8295
2014-07-17,573.82
2014-07-18,575.8448
2014-07-21,577.1424
2014-07-22,578.8184
2014-07-23,580.4528
2014-07-24,581.6811
2014-07-25,582.3801
2014-07-28,583.1629
2014-07-29,583.396
2014-07-30,583.7792
2014-07-31,582.6193
2014-08-01,581.0432
2014-08-04,580.2914
2014-08-05,578.8418
2014-08-06,577.6544
2014-08-07,576.293
2014-08-08,575.5765
2014-08-11,574.8435
2014-08-12,573.6899
2014-08-13,573.7937
2014-08-14,573.8752
2014-08-15,573.8376
2014-08-18,574.6302
2014-08-19,575.7949
2014-08-20,576.623
2014-08-21,577.2656
2014-08-22,577.7698
2014-08-25,578.0013
2014-08-26,577.9878
2014-08-27,577.3223
2014-08-28,576.5488
2014-08-29,576.0775
2014-09-02,576.1967
2014-09-03,576.3628
2014-09-04,576.8977
2014-09-05,577.7722
2014-09-08,578.9101
2014-09-09,579.1101
2014-09-10,579.4901
2014-09-11,579.6672
2014-09-12,579.2818
2014-09-15,578.693
2014-09-16,578.8128
2014-09-17,579.3801
2014-09-18,580.322
2014-09-19,581.8228
2014-09-22,582.3511
2014-09-23,582.2348
2014-09-24,582.7829
2014-09-25,582.0474
2014-09-26,581.5762
2014-09-29,581.0794
2014-09-30,580.7252
2014-10-01,579.539
2014-10-02,578.6381
2014-10-03,578.3183
2014-10-06,578.2261
2014-10-07,576.8465
2014-10-08,576.4325
2014-10-09,574.9513
2014-10-10,572.0502
2014-10-13,568.3512
2014-10-14,565.4549
2014-10-15,562.0811
2014-10-16,558.5029
2014-10-17,553.995
2014-10-20,550.8374
2014-10-21,548.5233
2014-10-22,547.0173
2014-10-23,546.728
2014-10-24,546.0663
2014-10-27,545.5619
2014-10-28,545.8798
2014-10-29,546.2084
2014-10-30,546.599
2014-10-31,547.7877
2014-11-03,548.4955
2014-11-04,549.0302
2014-11-05,548.734
2014-11-06,548.0965
2014-11-07,547.4216
2014-11-10,547.4281
2014-11-11,547.7007
2014-11-12,547.6635
2014-11-13,547.446
2014-11-14,547.1559
2014-11-17,546.142
2014-11-18,545.0837
2014-11-19,544.3129
2014-11-20,543.4098
2014-11-21,542.8469
2014-11-24,542.5063
2014-11-25,542.3704
2014-11-26,542.1799
2014-11-28,542.1466
2014-12-01,541.3517
2014-12-02,540.6277
2014-12-03,539.7413
2014-12-04,539.5097
2014-12-05,538.1526
2014-12-08,537.0885
2014-12-09,536.7344
2014-12-10,535.7178
2014-12-11,535.0151
2014-12-12,533.4575
2014-12-15,531.5854
2014-12-16,528.1382
2014-12-17,525.9241
2014-12-18,524.5123
2014-12-19,523.7349
2014-12-22,523.843
2014-12-23,524.4856
2014-12-24,524.8936
2014-12-26,525.7637
2014-12-29,526.1986
2014-12-30,526.6007
2014-12-31,526.5816
2015-01-02,526.4128
2015-01-05,525.2183
2015-01-06,523.0032
2015-01-07,520.9172
2015-01-08,519.1803
2015-01-09,516.9889
2015-01-12,514.6613
2015-01-13,512.9012
2015-01-14,511.7554
2015-01-15,510.8063
2015-01-16,510.5467
2015-01-20,510.1994
2015-01-21,510.9461
2015-01-22,513.1788
2015-01-23,515.7285
2015-01-26,517.5839
2015-01-27,517.6835
2015-01-28,516.9517
2015-01-29,516.3525
2015-01-30,518.0828
2015-02-02,519.073
2015-02-03,520.0413
2015-02-04,520.3002
2015-02-05,520.9935
2015-02-06,521.9465
2015-02-09,522.5068
2015-02-10,523.8814
2015-02-11,525.0327
2015-02-12,526.7372
2015-02-13,528.8584
2015-02-17,530.19
2015-02-18,531.0957
2015-02-19,532.2171
2015-02-20,532.8583
2015-02-23,532.768
