date,CCI
2014-06-20,58.5152
2014-06-23,88.4695
2014-06-24,109.0049
2014-06-25,144.3679
2014-06-26,151.2193
2014-06-27,152.3553
2014-06-30,149.7844
2014-07-01,163.9297
2014-07-02,161.5885
2014-07-03,157.6318
2014-07-07,149.7379
2014-07-08,104.5053
2014-07-09,107.1162
2014-07-10,91.7549
2014-07-11,110.8177
2014-07-14,125.8144
2014-07-15,119.5788
2014-07-16,122.212
2014-07-17,84.8983
2014-07-18,137.8041
2014-07-21,127.709
2014-07-22,140.8192
2014-07-23,137.8034
2014-07-24,130.8296
2014-07-25,108.4999
2014-07-28,105.0162
2014-07-29,92.0879
2014-07-30,91.7281
2014-07-31,49.6079
2014-08-01,23.5802
2014-08-04,30.4533
2014-08-05,11.4914
2014-08-06,5.744
2014-08-07,-0.1176
2014-08-08,4.4252
2014-08-11,8.7246
2014-08-12,-18.4058
2014-08-13,20.8631
2014-08-14,31.7762
2014-08-15,29.3604
2014-08-18,62.4225
2014-08-19,88.6589
2014-08-20,77.8083
2014-08-21,66.8506
2014-08-22,63.7933
2014-08-25,54.2449
2014-08-26,37.77
2014-08-27,3.5562
2014-08-28,-19.8928
2014-08-29,-20.144
2014-09-02,11.6684
2014-09-03,31.5577
2014-09-04,55.4824
2014-09-05,70.4442
2014-09-08,98.912
2014-09-09,54.4894
2014-09-10,35.9913
2014-09-11,21.7723
2014-09-12,-3.7074
2014-09-15,-54.6708
2014-09-16,-3.2348
2014-09-17,50.0485
2014-09-18,90.1082
2014-09-19,145.2339
2014-09-22,84.8629
2014-09-23,32.1562
2014-09-24,60.2736
2014-09-25,-7.4955
2014-09-26,-26.7859
2014-09-29,-42.561
2014-09-30,-27.488
2014-10-01,-82.9357
2014-10-02,-105.0579
2014-10-03,-43.1681
2014-10-06,-18.1218
2014-10-07,-110.6003
2014-10-08,-102.9698
2014-10-09,-135.788
2014-10-10,-235.0684
2014-10-13,-318.7525
2014-10-14,-288.2694
2014-10-15,-351.4114
2014-10-16,-344.6979
2014-10-17,-346.1502
2014-10-20,-312.0332
2014-10-21,-248.1764
2014-10-22,-183.1657
2014-10-23,-131.7169
2014-10-24,-134.3818
2014-10-27,-124.0562
2014-10-28,-93.0776
2014-10-29,-73.8093
2014-10-30,-76.2915
2014-10-31,-37.7971
2014-11-03,-46.114
2014-11-04,-54.2999
2014-11-05,-68.3656
2014-11-06,-86.5497
2014-11-07,-87.6124
2014-11-10,-69.3771
2014-11-11,-54.2411
2014-11-12,-58.6797
2014-11-13,-61.4378
2014-11-14,-65.5258
2014-11-17,-85.2661
